LAPORAN PEMASUKAN DAN PENGELUARAN,,,,,,,,,,,
POODY AGUSTUS 2026,,,,,,,,,,,
NO,TANGGAL,KETERANGAN, PEMASUKAN, PENGELUARAN, SALDO,,,,PENDAPATAN,,
1,01/08/26,SALDO BULAN JULI,,," Rp 909,839 ",,,,8/1/2026,," Rp 346,000 "
2,,," Rp 346,000 ",," Rp 1,255,839 ",,,,8/2/2026,, Rp - 
3,,EVAPORASI & PUDDING,," Rp 40,000 "," Rp 1,215,839 ",,,,8/3/2026,," Rp 282,000 "
4,,LAPAK HARIAN,," Rp 7,000 "," Rp 1,208,839 ",,,,8/4/2026,," Rp 380,000 "
5,,JAJAN,," Rp 12,000 "," Rp 1,196,839 ",,,,8/5/2026,," Rp 305,000 "
6,02/08/26,PUDDING & EVAVORASI,," Rp 200,000 "," Rp 996,839 ",,,,8/6/2026,," Rp 347,000 "
7,,MAIN,," Rp 120,000 "," Rp 876,839 ",,,,8/7/2026,," Rp 416,000 "
8,03/08/26,PDG STRAWBERRY POUCH 9,," Rp 74,678 "," Rp 802,161 ",,,,8/8/2026,," Rp 535,400 "
9,,PDG COKLAT BOX 9,," Rp 94,208 "," Rp 707,953 ",,,,8/9/2026,," Rp 524,000 "
10,,PDG MATCHA 8,," Rp 66,380 "," Rp 641,573 ",,,,8/10/2026,, Rp - 
11,,ES BATU,," Rp 3,000 "," Rp 638,573 ",,,,8/11/2026,," Rp 228,000 "
12,,SPAYLATTER,," Rp 30,000 "," Rp 608,573 ",,,,8/12/2026,," Rp 271,000 "
13,,," Rp 282,000 ",," Rp 890,573 ",,,,8/13/2026,," Rp 227,000 "
14,,ES KRIM,," Rp 153,000 "," Rp 737,573 ",,,,8/14/2026,," Rp 267,000 "
15,,KAHF,," Rp 25,400 "," Rp 712,173 ",,,,8/15/2026,," Rp 398,000 "
16,,LAPAK,," Rp 7,000 "," Rp 705,173 ",,,,8/16/2026,," Rp 356,000 "
17,04/08/26,," Rp 380,000 ",," Rp 1,085,173 ",,,,8/17/2026,," Rp 350,000 "
18,,PAPPERBOWL ,," Rp 150,656 "," Rp 934,517 ",,,,8/18/2026,," Rp 978,615 "
19,,LAPAK,," Rp 7,000 "," Rp 927,517 ",,,,8/19/2026,," Rp 252,000 "
20,05/08/26,," Rp 305,000 ",," Rp 1,232,517 ",,,,8/20/2026,," Rp 269,000 "
21,,LAPAK,," Rp 7,000 "," Rp 1,225,517 ",,,,8/21/2026,," Rp 134,000 "
22,,TITIP TENDA,," Rp 150,000 "," Rp 1,075,517 ",,,,8/22/2026,," Rp 426,000 "
23,,LIQUID & COIL,," Rp 180,000 "," Rp 895,517 ",,,,8/23/2026,," Rp 359,000 "
24,06/08/26,," Rp 347,000 ",," Rp 1,242,517 ",,,,8/24/2026,," Rp 300,000 "
25,,LAPAK,," Rp 7,000 "," Rp 1,235,517 ",,,,8/25/2026,,0
26,07/08/26,," Rp 416,000 ",," Rp 1,651,517 ",,,,8/26/2026,,0
27,,PUDDING 5,," Rp 54,500 "," Rp 1,597,017 ",,,,8/27/2026,,0
28,,ESKRIM,," Rp 150,000 "," Rp 1,447,017 ",,,,8/28/2026,,0
29,,ES BATU,," Rp 3,000 "," Rp 1,444,017 ",,,,8/29/2026,,0
30,,PARKIR,," Rp 2,000 "," Rp 1,442,017 ",,,,8/30/2026,,0
31,,LAPAK,," Rp 7,000 "," Rp 1,435,017 ",,,,8/31/2026,,0
32,,JAJAN,," Rp 40,000 "," Rp 1,395,017 ",,,,,TOTAL," Rp 7,951,015 "
33,08/08/26,," Rp 535,400 ",," Rp 1,930,417 ",,,,,,
34,,LAPAK,," Rp 7,000 "," Rp 1,923,417 ",,,,,,
35,,KEPERLUAN,," Rp 41,000 "," Rp 1,882,417 ",,,,,,
36,,LISTRIK,," Rp 50,000 "," Rp 1,832,417 ",,,,,,
37,09/08/26,," Rp 524,000 ",," Rp 2,356,417 ",," Rp 3,135,400 "," Rp 2,085,222 ",,,
38,,LAPAK,," Rp 14,000 "," Rp 2,342,417 ",,,,,,
39,,BENSIN,," Rp 45,000 "," Rp 2,297,417 ",,,,,,
40,,EVAPORASI,," Rp 86,400 "," Rp 2,211,017 ",,,,,,
41,,PUDDING,," Rp 33,000 "," Rp 2,178,017 ",,,,,,
42,,KRESEK 1 PACK,," Rp 57,000 "," Rp 2,121,017 ",,,,,,
43,,KRESEK 2 IKAT ,," Rp 25,000 "," Rp 2,096,017 ",,,,,,
44,,OREO ,," Rp 10,000 "," Rp 2,086,017 ",,,,,,
45,,KEJU 1 PACK,," Rp 96,000 "," Rp 1,990,017 ",,,,,,
46,,SENDOK 2 PACK (200 PCS),," Rp 30,000 "," Rp 1,960,017 ",,,,,,
47,,DISHUB,," Rp 2,000 "," Rp 1,958,017 ",,,,,,
48,10/08/26,ICE CREAM,," Rp 140,000 "," Rp 1,818,017 ",,,,,,
49,,PUDDING,," Rp 121,200 "," Rp 1,696,817 ",,,,,,
50,11/08/26,PUDDING 95 PCS,," Rp 788,345 "," Rp 908,472 ",,,,,,
51,,KEPERLUAN,," Rp 450,000 "," Rp 458,472 ",,,,,,
52,,LAPAK,," Rp 7,000 "," Rp 451,472 ",,,,,,
53,,JAJAN,," Rp 20,000 "," Rp 431,472 ",,,,,,
54,,," Rp 228,000 ",," Rp 659,472 ",,,,,,
55,12/08/26,LAPAK,," Rp 7,000 "," Rp 652,472 ",,,,,,
56,,ES BATU,," Rp 2,000 "," Rp 650,472 ",,,,,,
57,,GULA 1 KG,," Rp 12,000 "," Rp 638,472 ",,,,,,
58,,," Rp 271,000 ",," Rp 909,472 ",,,,,,
59,13/08/26,," Rp 227,000 ",," Rp 1,136,472 ",,,,,,
60,,LAPAK,," Rp 7,000 "," Rp 1,129,472 ",,,,,,
61,,ES BATU,," Rp 3,000 "," Rp 1,126,472 ",,,,,,
62,14/08/26,," Rp 267,000 ",," Rp 1,393,472 ",,,,,,
63,,LAPAK,," Rp 7,000 "," Rp 1,386,472 ",,,,,,
64,,IURAN AGUSTUSAN,," Rp 50,000 "," Rp 1,336,472 ",,,,,,
65,15/08/26,," Rp 398,000 ",," Rp 1,734,472 ",,,,,,
66,,ICE CREAM,," Rp 130,000 "," Rp 1,604,472 ",,,,,,
67,,PAPPER BOWL,," Rp 237,784 "," Rp 1,366,688 ",,,,,,
68,,PISAHIN,," Rp 500,000 "," Rp 866,688 ",,,,,,
70,16/08/26,," Rp 356,000 ",," Rp 1,222,688 ",," Rp 1,747,000 "," Rp 1,019,784 ",,,
71,,LAPAK,," Rp 14,000 "," Rp 1,208,688 ",,,,,,
72,,KEPERLUAN,," Rp 50,000 "," Rp 1,158,688 ",,,,,,
73,17/08/26,," Rp 350,000 ",," Rp 1,508,688 ",,,,,,
74,,LAPAK,," Rp 5,000 "," Rp 1,503,688 ",,,,,,
75,,SERVICE MOTOR SAFFANA,," Rp 428,000 "," Rp 1,075,688 ",,,,,,
76,,PISAHIN,," Rp 500,000 "," Rp 575,688 ",,,,,,
77,18/08/26,BENSIN,," Rp 50,000 "," Rp 525,688 ",,,,,,
78,,KEPERLUAN,," Rp 50,000 "," Rp 475,688 ",,,,,,
79,,CREAMER 6 KG,," Rp 180,000 "," Rp 295,688 ",,,,,,
80,,KRESEK (15) 1 PACK,," Rp 57,000 "," Rp 238,688 ",,,,,,
81,,SP,," Rp 4,500 "," Rp 234,188 ",,,,,,
82,,REDVELVET CRUM,," Rp 28,000 "," Rp 206,188 ",,,,,,
83,,SKM TIGA SAPI,," Rp 13,300 "," Rp 192,888 ",,,,,,
84,,EVAPORASI TIGA SAPI,," Rp 72,000 "," Rp 120,888 ",,,,,,
85,,GULAKU 2 KG,," Rp 35,000 "," Rp 85,888 ",,,,,,
86,,REGAL 120 G,," Rp 9,700 "," Rp 76,188 ",,,,,,
87,,FROOT LOOPS 600 G,," Rp 76,188 ", Rp - ,,,,,,
88,,LABA," Rp 978,615 ",," Rp 978,615 ",,,,,,
89,19/08/26,," Rp 252,000 ",," Rp 1,230,615 ",,,,,,
90,,LAPAK,," Rp 7,000 "," Rp 1,223,615 ",,,,,,
91,20/08/26,," Rp 269,000 ",," Rp 1,492,615 ",,,,,,
92,,LAPAK,," Rp 7,000 "," Rp 1,485,615 ",,,,,,
93,,SENDOK 3 PACK,," Rp 45,000 "," Rp 1,440,615 ",,,,,,
94,21/08/26,," Rp 134,000 ",," Rp 1,574,615 ",,,,,,
95,,LAPAK,," Rp 5,000 "," Rp 1,569,615 ",,,,,,
96,22/08/26,," Rp 426,000 ",," Rp 1,995,615 ",,,,,,
97,,PUDDING,  ," Rp 763,449 "," Rp 1,232,166 ",,,,,,
98,,LAPAK,," Rp 7,000 "," Rp 1,225,166 ",,,,,,
99,,SKM 2,," Rp 27,000 "," Rp 1,198,166 ",,,,,,
100,,JAJAN,," Rp 43,000 "," Rp 1,155,166 ",,,,,,
101,23/08/26,," Rp 359,000 ",," Rp 1,514,166 ",,,,,,
102,,LAPAK,," Rp 12,000 "," Rp 1,502,166 ",,,,,,
103,,JAJAN,," Rp 26,000 "," Rp 1,476,166 ",,,,,,
104,,LIQUID,," Rp 100,000 "," Rp 1,376,166 ",,,,,,
105,24/08/26,," Rp 300,000 ",," Rp 1,676,166 ",,,,,,
106,,LAPAK,," Rp 7,000 "," Rp 1,669,166 ",,,,,,
107,,AQUA,," Rp 5,000 "," Rp 1,664,166 ",,,,,,
108,,SKM EVAPORASI,," Rp 113,000 "," Rp 1,551,166 ",,,,,,
109,,PARKIR,," Rp 2,000 "," Rp 1,549,166 ",,,,,,
110,25/08/26,KEPERLUAN,," Rp 379,100 "," Rp 1,170,066 ",,,,,,
,,,,," Rp 1,170,066 ",,,,,,
111,26/08/26,KOKO KRUNCH 300 GRAM,," Rp 41,700 "," Rp 1,128,366 ",,,,,,
